OTU	Average_abundance	Core_ratio
Lachnospiraceae	0.34318588732479	1
Bacteroidaceae	0.307774556287805	1
Verrucomicrobiaceae	0.0883880220918528	0.967741935483871
Ruminococcaceae	0.0705099226511735	1
Unclassified	0.0575440537945736	1
Oxalobacteraceae	0.0334356423702406	0.790322580645161
Eubacteriaceae	0.0176682393252726	1
Enterobacteriaceae	0.0143649351181024	0.782258064516129
Nitrosomonadaceae	0.0104048235068568	0.725806451612903
